"time","open","high","low","close","MA1","MA2","MA3"
1592470800,"1,12492","1,12614","1,12452","1,12506","1,12992315","1,124074","1,1249"
1592474400,"1,12506","1,12559","1,12391","1,1255","1,12990595","1,1242515","1,125095"
1592478000,"1,1255","1,12587","1,12299","1,12343","1,12987825","1,124331","1,12490625"
1592481600,"1,12343","1,12347","1,12143","1,12274","1,12984755","1,124314","1,12455625"
1592485200,"1,12274","1,12318","1,12112","1,12127","1,1298081","1,1241935","1,12407875"
1592488800,"1,12127","1,12264","1,12024","1,12212","1,12977155","1,124147","1,12366875"
1592492400,"1,12212","1,12327","1,12111","1,12154","1,1297292","1,1240295","1,1233225"
1592496000,"1,12154","1,12174","1,11923","1,11933","1,12967575","1,123781","1,12262375"
1592499600,"1,11933","1,1205","1,11856","1,12038","1,12962925","1,1235905","1,12203875"
1592503200,"1,12038","1,12088","1,11994","1,12087","1,129598","1,123411","1,12146"
1592506800,"1,12087","1,1213","1,1202","1,12026","1,1295611","1,1232145","1,12106375"
1592510400,"1,12026","1,12099","1,11997","1,12057","1,129517","1,123037","1,1207925"
1592514000,"1,12057","1,12057","1,11976","1,12028","1,12946355","1,1228745","1,12066875"
1592517600,"1,12028","1,12097","1,12026","1,1209","1,12941765","1,1227225","1,12051625"
1592521200,"1,1209","1,12134","1,12071","1,12079","1,12937735","1,122515","1,1204225"
1592524800,"1,12079","1,12083","1,11992","1,12037","1,12933365","1,1222565","1,1205525"
1592528400,"1,12037","1,12105","1,1199","1,1206","1,129286","1,122032","1,12058"
1592532000,"1,1206","1,12107","1,12042","1,12107","1,12923945","1,1218155","1,120605"
1592535600,"1,12107","1,12146","1,12085","1,12146","1,12919815","1,121673","1,120755"
1592539200,"1,12146","1,12162","1,12112","1,12134","1,1291579","1,121494","1,12085125"
